7.1,2021-09-01,09:53:14.001373300
6.7,2021-09-02,12:34:10.038360300
6.7,2021-09-03,09:22:10.483016700
6.7,2021-09-04,09:22:10.483016700
6.6,2021-09-05,09:22:10.483016700
6.4,2021-09-06,09:44:24.391432400
7.7,2021-09-07,11:29:48.346956
8.1,2021-09-08,12:40:50.283756200,Zagreb
6.2,2021-09-08,12:40:51.050767,Split
9.9,2021-09-08,12:40:51.863071700,Pula
8.6,2021-09-09,11:05:28.212535500,Zagreb
3.8,2021-09-09,11:05:28.934966600,Split
10.2,2021-09-09,11:05:29.627908500,Pula
9.0,2021-09-10,12:31:42.846578500,Zagreb
4.4,2021-09-10,12:31:44.152111800,Split
8.8,2021-09-10,12:31:44.916339900,Pula
9.0,2021-09-10,15:47:47.162919400,Zagreb
4.4,2021-09-10,15:47:47.910357500,Split
8.8,2021-09-10,15:47:48.617257100,Pula
9.0,2021-09-10,16:00:52.500028600,Zagreb
4.4,2021-09-10,16:00:53.269781200,Split
8.8,2021-09-10,16:00:54.545611200,Pula
9.0,2021-09-10,16:04:26.707996200,Zagreb
4.4,2021-09-10,16:04:27.476067500,Split
8.8,2021-09-10,16:04:28.192195400,Pula
9.0,2021-09-10,16:09:23.821307400,Zagreb
4.4,2021-09-10,16:09:24.585452600,Split
8.8,2021-09-10,16:09:25.326901300,Pula
7.4,2021-09-11,10:57:50.704297,Zagreb
3.3,2021-09-11,10:57:51.457838100,Split
8.9,2021-09-11,10:57:52.161842,Pula
7.4,2021-09-11,17:28:10.035104300,Zagreb
3.3,2021-09-11,17:28:10.778405900,Split
8.9,2021-09-11,17:28:11.503113700,Pula
7.4,2021-09-12,10:06:17.341452400,Zagreb
3.3,2021-09-12,10:06:18.357300400,Split
8.9,2021-09-12,10:06:19.432698200,Pula
7.0,2021-09-13,10:00:24.712184200,Zagreb
6.4,2021-09-13,10:00:25.515193900,Split
8.6,2021-09-13,10:00:26.314557200,Pula
7.0,2021-09-13,14:25:17.410873900,Zagreb
6.4,2021-09-13,14:25:18.283810300,Split
6.8,2021-09-13,14:25:19.640951700,Pula
7.0,2021-09-13,18:00:13.063396900,Zagreb
6.4,2021-09-13,18:00:13.831506,Split
6.8,2021-09-13,18:00:14.645471100,Pula
7.1,2021-09-14,10:00:19.646369500,Zagreb
6.2,2021-09-14,10:00:20.396688200,Split
6.8,2021-09-14,10:00:21.178602600,Pula
7.1,2021-09-14,10:28:53.405001,Zagreb
6.2,2021-09-14,10:28:54.554428400,Split
6.8,2021-09-14,10:28:55.458751500,Pula
7.1,2021-09-14,12:28:17.258963,Zagreb
6.2,2021-09-14,12:28:18.288958800,Split
6.8,2021-09-14,12:28:19.196525900,Pula
7.1,2021-09-14,18:00:14.205080400,Zagreb
6.2,2021-09-14,18:00:14.946320100,Split
6.6,2021-09-14,18:00:15.673991900,Pula
7.0,2021-09-15,10:00:19.526032800,Zagreb
6.3,2021-09-15,10:00:20.345229500,Split
6.6,2021-09-15,10:00:21.182985900,Pula
